Data_Venda,Canal_Venda,UF,Produto,Preco_Unitario,Quantidade,Custo_Unitario,Receita,Lucro
2025-04-13,Loja Física,SP,Smartphone,2484.58,3,1872.49,7453.74,1836.27
2025-06-29,Loja Física,RJ,Smartwatch,1041.91,1,699.66,1041.91,342.25
2025-04-03,E-commerce,RJ,Smartphone,2447.07,1,2077.09,2447.07,369.98
2025-01-15,Loja Física,MG,Smartphone,2307.4,1,1797.67,2307.4,509.73
2025-04-17,E-commerce,PR,Notebook,3840.18,4,3069.45,15360.72,3082.92
2025-03-13,Loja Física,ES,Teclado Mecânico,445.53,4,258.24,1782.12,749.16
2025-01-21,Marketplace,RJ,Notebook,3915.48,2,2816.82,7830.96,2197.32
2025-04-13,E-commerce,RJ,Teclado Mecânico,416.66,1,220.61,416.66,196.05
2025-05-02,Loja Física,SP,Monitor,1115.24,1,797.86,1115.24,317.38
2025-03-16,Marketplace,BA,Monitor,1120.32,5,747.97,5601.6,1861.75
2025-03-29,Marketplace,MG,Notebook,4219.56,3,3098.34,12658.68,3363.66
2025-04-27,Loja Física,SP,Teclado Mecânico,481.41,2,285.31,962.82,392.2
2025-04-10,E-commerce,PR,Monitor,978.77,2,648.42,1957.54,660.7
2025-04-14,Marketplace,SC,Notebook,4302.29,3,3400.05,12906.87,2706.72
2025-06-01,WhatsApp,RS,Smartphone,2603.01,2,2327.38,5206.02,551.26
2025-05-11,Loja Física,BA,Teclado Mecânico,497.91,2,293.53,995.82,408.76
2025-05-30,Loja Física,SP,Monitor,1072.26,1,783.13,1072.26,289.13
2025-02-22,Marketplace,PR,Fone Bluetooth,324.22,1,176.95,324.22,147.27
2025-01-02,E-commerce,RJ,Smartphone,2962.93,1,1971.27,2962.93,991.66
2025-03-29,Loja Física,SP,Smartwatch,918.5,1,599.97,918.5,318.53
2025-06-07,Marketplace,RS,Smartwatch,914.13,1,634.0,914.13,280.13
2025-02-07,Loja Física,RJ,Notebook,4724.29,1,3709.24,4724.29,1015.05
2025-05-10,E-commerce,RJ,Monitor,1035.73,1,733.98,1035.73,301.75
2025-01-21,Loja Física,MG,Monitor,1310.24,2,1013.78,2620.48,592.92
2025-06-10,Loja Física,RJ,Mouse Gamer,184.36,2,93.55,368.72,181.62
2025-02-27,Marketplace,MG,Fone Bluetooth,308.62,1,158.39,308.62,150.23
2025-01-22,E-commerce,GO,Teclado Mecânico,468.18,1,273.71,468.18,194.47
2025-03-30,E-commerce,RJ,Tablet,1751.87,1,1239.07,1751.87,512.8
2025-02-18,WhatsApp,,Notebook,4793.19,2,3816.33,9586.38,1953.72
2025-02-28,Marketplace,MG,Tablet,1854.33,1,1457.6,1854.33,396.73
2025-06-19,E-commerce,BA,Smartphone,2196.13,1,1582.6,2196.13,613.53
2025-01-15,E-commerce,GO,Mouse Gamer,215.82,1,124.07,215.82,91.75
2025-06-24,Marketplace,RJ,Notebook,3110.93,1,2299.05,3110.93,811.88
2025-02-20,e-commerce,SP,Fone Bluetooth,268.93,1,141.99,268.93,126.94
2025-04-18,E-commerce,MG,Fone Bluetooth,308.73,1,180.68,308.73,128.05
2025-02-24,loja fisica,SC,Fone Bluetooth,321.5,2,216.67,643.0,209.66
2025-03-05,WhatsApp,SP,Smartphone,2303.7,1,1747.32,2303.7,556.38
2025-05-11,Loja Física,SC,Smartwatch,934.61,1,609.77,934.61,324.84
2025-02-20,E-commerce,MG,Notebook,4238.14,1,3418.0,4238.14,820.14
2025-05-15,WhatsApp,RS,Smartphone,2376.97,1,1959.7,2376.97,417.27
2025-01-21,Loja Física,SP,Fone Bluetooth,316.11,4,190.78,1264.44,501.32
2025-03-14,Loja Física,MG,Smartphone,2402.71,1,1797.96,2402.71,604.75
2025-06-16,WhatsApp,MG,Smartphone,2382.13,1,1843.73,2382.13,538.4
2025-01-18,Loja Física,MG,Tablet,1937.09,3,1507.25,5811.27,1289.52
2025-05-12,Loja Física,RS,Tablet,1917.05,1,1428.56,1917.05,488.49
2025-03-30,WhatsApp,PE,Teclado Mecânico,469.86,2,245.08,939.72,449.56
2025-03-01,Marketplace,SP,Smartwatch,948.41,1,620.92,948.41,327.49
2025-01-14,E-commerce,MG,Monitor,1041.11,3,777.17,3123.33,791.82
2025-01-09,Loja Física,RJ,Smartphone,2456.46,2,1925.74,4912.92,1061.44
2025-03-31,E-commerce,SP,Notebook,4062.94,3,3211.61,12188.82,2553.99
2025-02-22,Loja Física,PR,Smartwatch,1049.22,1,682.87,1049.22,366.35
2025-05-10,Loja Física,PE,Notebook,4119.62,1,3354.03,4119.62,765.59
2025-03-25,Loja Física,,Monitor,1128.53,4,784.1,4514.12,1377.72
2025-04-02,e-commerce,RJ,Mouse Gamer,253.66,1,137.64,253.66,116.02
2025-04-21,Loja Física,MG,Mouse Gamer,202.29,2,91.32,404.58,221.94
2025-06-21,Loja Física,RJ,Teclado Mecânico,477.74,2,275.5,955.48,404.48
2025-01-08,E-commerce,SP,Teclado Mecânico,449.56,1,231.12,449.56,218.44
2025-06-24,loja fisica,GO,Notebook,3497.75,3,2975.95,10493.25,1565.4
2025-02-04,Loja Física,PR,Smartphone,2334.9,1,1697.81,2334.9,637.09
2025-03-22,Loja Física,SP,Smartphone,2622.77,1,2083.31,2622.77,539.46
2025-06-13,Loja Física,SP,Mouse Gamer,224.31,1,107.61,224.31,116.7
2025-02-19,Loja Física,PE,Mouse Gamer,229.84,1,122.94,229.84,106.9
2025-04-14,Marketplace,RS,Mouse Gamer,194.51,2,86.3,389.02,216.42
2025-05-12,Loja Física,GO,Smartphone,2367.15,1,1880.47,2367.15,486.68
2025-01-02,WhatsApp,PE,Notebook,4304.46,1,3611.5,4304.46,692.96
2025-05-14,Loja Física,MG,Smartwatch,927.02,1,602.39,927.02,324.63
2025-02-23,WhatsApp,PE,Smartwatch,974.53,2,601.2,1949.06,746.66
2025-04-16,E-commerce,GO,Tablet,1870.95,1,1353.74,1870.95,517.21
2025-01-04,WhatsApp,SC,Fone Bluetooth,337.67,1,190.43,337.67,147.24
2025-02-23,E-commerce,GO,Fone Bluetooth,321.78,5,199.29,1608.9,612.45
2025-05-26,Loja Física,SP,Mouse Gamer,221.72,4,104.0,886.88,470.88
2025-02-13,E-commerce,ES,Notebook,4964.66,2,3953.11,9929.32,2023.1
2025-06-11,Loja Física,ES,Monitor,1289.48,1,863.06,1289.48,426.42
2025-01-14,Loja Física,MG,Tablet,1784.03,2,1354.17,3568.06,859.72
2025-04-05,,RJ,Tablet,1679.08,1,1168.68,1679.08,510.4
2025-02-17,E-commerce,PE,Smartwatch,1028.48,1,594.04,1028.48,434.44
2025-01-15,E-commerce,RJ,Smartwatch,975.97,1,707.62,975.97,268.35
2025-02-09,E-commerce,ES,Smartphone,2614.27,1,2036.05,2614.27,578.22
2025-03-23,WhatsApp,SP,Monitor,983.82,3,760.75,2951.46,669.21
2025-04-21,Loja Física,SP,Monitor,1093.52,2,753.12,2187.04,680.8
2025-02-22,E-commerce,PE,Fone Bluetooth,276.14,4,175.12,1104.56,404.08
2025-01-24,Loja Física,BA,Smartphone,2555.13,1,1919.28,2555.13,635.85
2025-06-03,Loja Física,SP,Smartphone,2181.11,1,1561.73,2181.11,619.38
2025-05-04,Loja Física,SP,Fone Bluetooth,326.64,5,193.4,1633.2,666.2
2025-02-10,WhatsApp,SP,Smartphone,2501.05,2,1855.48,5002.1,1291.14
2025-06-06,E-commerce,ES,Tablet,1754.92,1,1151.29,1754.92,603.63
2025-01-15,E-commerce,GO,Fone Bluetooth,323.08,1,194.03,323.08,129.05
2025-02-14,,ES,Notebook,4556.31,1,3834.84,4556.31,721.47
2025-03-06,WhatsApp,RJ,Smartphone,2566.46,1,1822.34,2566.46,744.12
2025-03-30,WhatsApp,PR,Smartphone,,2,2023.55,5045.94,998.84
2025-03-12,Loja Física,BA,Tablet,2096.75,3,1656.88,6290.25,1319.61
2025-01-09,Loja Física,BA,Monitor,1010.21,1,696.27,1010.21,313.94
2025-03-29,E-commerce,SP,Fone Bluetooth,336.52,2,213.6,673.04,245.84
2025-05-09,Loja Física,,Notebook,4054.29,1,3106.83,4054.29,947.46
2025-05-16,Loja Física,SP,Fone Bluetooth,347.1,1,176.9,347.1,170.2
2025-03-04,loja fisica,SP,Tablet,1927.59,1,1377.3,1927.59,550.29
2025-05-19,E-commerce,MG,Mouse Gamer,246.44,1,123.95,246.44,122.49
2025-03-22,Loja Física,PE,Notebook,4529.8,4,3593.16,18119.2,3746.56
2025-05-16,E-commerce,RS,Tablet,1554.71,1,1115.94,1554.71,438.77
2025-06-12,E-commerce,RJ,Tablet,1799.11,1,1324.37,1799.11,474.74
2025-06-12,WhatsApp,SC,Monitor,985.21,1,716.04,985.21,269.17
2025-02-02,WhatsApp,SP,Notebook,3829.98,1,3062.1,3829.98,767.88
2025-05-03,Marketplace,SP,Smartwatch,945.24,2,650.52,1890.48,589.44
2025-01-05,WhatsApp,PR,Teclado Mecânico,433.92,1,230.4,433.92,203.52
2025-02-10,WhatsApp,GO,Smartwatch,909.7,1,562.45,909.7,347.25
2025-01-28,WhatsApp,RJ,Tablet,1593.49,1,1135.1,1593.49,458.39
2025-05-15,Marketplace,SP,Monitor,1272.9,1,892.83,1272.9,380.07
2025-03-13,Loja Física,SC,Smartwatch,989.11,1,690.58,989.11,298.53
2025-01-12,E-commerce,RJ,Smartphone,2477.53,2,1811.47,4955.06,1332.12
2025-06-11,Loja Física,RS,Mouse Gamer,207.04,1,108.32,207.04,98.72
2025-02-02,E-commerce,RS,Mouse Gamer,215.16,1,87.77,215.16,127.39
2025-02-17,Loja Física,BA,Smartwatch,902.38,2,507.42,1804.76,789.92
2025-05-31,E-commerce,RS,Teclado Mecânico,470.76,1,264.78,470.76,205.98
2025-03-03,e-commerce,MG,Fone Bluetooth,295.11,1,172.1,295.11,123.01
2025-02-06,WhatsApp,RJ,Monitor,958.63,1,678.84,958.63,279.79
