data,produto,categoria,estado,canal,vendas,quantidade,preco_unitario,custo,lucro,avaliacao_cliente
2024-04-12,Mouse Gamer,Periféricos,RJ,Marketplace,562.26,3,187.42,97.7,269.16,4.6
2024-05-01,Headset,Áudio,ES,MarketPlace,1124.08,4,281.02,144.77,545.0,3.8
2024-10-03,Teclado Mecânico,Periféricos,SP,Marketplace,2515.73,7,359.39,153.66,1440.11,4.3
2024-07-06,Webcam HD,Periféricos,SP,Marketplace,596.76,3,198.92,125.09,221.49,4.3
2024-02-24,Smartwatch,Telefonia,RJ,Loja Física,3908.08,4,977.02,666.26,1243.04,4.4
2024-11-24,Mouse Gamer,Periféricos,ES,Loja Física,527.4,3,175.8,91.57,252.69,4.8
2024-09-20,Webcam HD,Periféricos,PE,Loja Física,1082.8,5,216.56,131.63,424.65,3.1
2024-04-15,Webcam HD,Periféricos,ES,Marketplace,482.56,2,241.28,128.62,225.32,4.5
2024-07-20,Webcam HD,Periféricos,SC,Loja Física,770.79,3,256.93,122.13,404.4,3.3
2024-12-03,Caixa de Som,Áudio,PE,Online,3810.69,9,423.41,231.33,1728.72,4.4
2024-02-10,Notebook Pro,Informática,MG,Marketplace,8055.04,2,4027.52,3091.9,1871.24,3.9
2024-05-08,Smartwatch,Telefonia,PR,Online,5087.35,5,1017.47,684.88,1662.95,4.5
2024-09-17,Teclado Mecânico,Periféricos,ES,Online,1005.84,3,335.28,170.32,494.88,4.1
2024-03-02,Mouse Gamer,Periféricos,SP,Online,1169.49,7,167.07,99.76,471.17,4.3
2024-08-14,Mouse Gamer,Periféricos,PR,Online,853.55,5,170.71,97.06,368.25,4.9
2024-09-11,Tablet Plus,Telefonia,BA,Loja Física,4311.86,2,2155.93,1421.59,1468.68,3.9
2024-12-17,Caixa de Som,Áudio,GO,Loja Física,845.06,2,422.53,242.47,360.12,4.0
2024-08-18,Smartwatch,Telefonia,SP,Marketplace,7284.88,8,910.61,618.47,2337.12,3.8
2024-03-06,Headset,Áudio,PE,Online,278.57,1,278.57,149.05,129.52,3.8
2024-04-17,Tablet Plus,Telefonia,ES,Marketplace,12776.94,6,2129.49,1521.24,3649.5,4.3
2024-08-12,Mouse Gamer,Periféricos,RJ,Marketplace,966.72,6,161.12,90.04,426.48,3.8
2024-05-16,Monitor 27,Informática,BA,Loja Física,11457.68,8,1432.21,926.67,4044.32,3.6
2024-11-10,Monitor 27,Informática,SP,Online,8507.87,7,1215.41,924.55,2036.02,4.8
2024-02-21,Headset,Áudio,RS,Marketplace,1190.3,5,238.06,143.18,474.4,4.2
2024-03-21,Smartphone X,Telefonia,MG,Online,8343.45,3,2781.15,2255.86,1575.87,3.6
2024-05-05,Smartphone X,Telefonia,ES,Marketplace,7614.66,3,2538.22,2244.0,882.66,4.3
2024-05-02,Headset,Áudio,SP,Marketplace,1482.72,6,247.12,153.21,563.46,4.0
2024-08-27,Teclado Mecânico,Periféricos,GO,Marketplace,989.04,3,329.68,200.89,386.37,4.0
2024-09-15,Monitor 27,Informática,MG,Online,10859.38,7,1551.34,980.54,3995.6,4.0
2024-05-26,Smartwatch,Telefonia,BA,Marketplace,1858.98,2,929.49,644.4,570.18,4.3
2024-02-08,Webcam HD,Periféricos,ES,Marketplace,233.82,1,233.82,136.35,97.47,3.4
2024-12-11,Smartphone X,Telefonia,RJ,Loja Física,17307.72,6,2884.62,2107.92,4660.2,4.2
2024-06-08,Notebook Pro,Informática,PR,Online,4600.08,1,4600.08,3341.69,1258.39,3.8
2024-05-10,Headset,Áudio,SP,Loja Física,1128.64,4,282.16,157.69,497.88,4.8
2024-04-21,Tablet Plus,Telefonia,PR,Loja Física,7919.96,4,1979.99,1723.52,1025.88,4.2
2024-07-26,Caixa de Som,Áudio,SC,Marketplace,1134.12,3,378.04,223.62,463.26,3.5
2024-05-14,Caixa de Som,Áudio,MG,Online,848.94,2,424.47,238.75,371.44,5.0
2024-01-22,Teclado Mecânico,Periféricos,ES,Marketplace,1569.35,5,313.87,193.06,604.05,4.2
2024-10-12,Webcam HD,Periféricos,GO,Online,1575.0,6,262.5,127.09,812.46,4.4
2024-10-30,Tablet Plus,Telefonia,SC,Marketplace,2181.06,1,2181.06,1529.22,651.84,4.3
2024-08-20,Smartwatch,Telefonia,PR,Loja Física,3903.84,4,975.96,732.64,973.28,4.7
2024-07-06,Teclado Mecânico,Periféricos,GO,Online,679.78,2,339.89,191.29,297.2,4.0
2024-09-12,Mouse Gamer,Periféricos,RJ,Loja Física,176.14,1,176.14,101.25,74.89,3.8
2024-11-18,Teclado Mecânico,Periféricos,MG,Marketplace,971.82,3,323.94,180.63,429.93,3.5
2024-09-29,Smartwatch,Telefonia,PE,Loja Física,4340.8,4,1085.2,623.99,1844.84,3.2
2024-11-01,Smartwatch,Telefonia,SC,Marketplace,7456.86,6,1242.81,672.26,3423.3,4.5
2024-05-21,Caixa de Som,Áudio,GO,Online,1241.04,3,413.68,219.34,583.02,4.1
2024-08-02,Webcam HD,Periféricos,RJ,Marketplace,526.14,2,263.07,131.17,263.8,4.1
2024-10-31,Mouse Gamer,Periféricos,GO,Online,175.18,1,175.18,103.89,71.29,4.3
2024-04-17,Smartphone X,Telefonia,SP,Online,8545.47,3,2848.49,2105.74,2228.25,3.9
2024-02-16,Smartwatch,Telefonia,MG,Online,1964.2,2,982.1,598.99,766.22,3.3
2024-02-27,Notebook Pro,Informática,BA,Marketplace,9516.4,2,4758.2,3037.83,3440.74,3.9
2024-10-16,Teclado Mecânico,Periféricos,GO,Loja Física,629.52,2,314.76,182.93,263.66,5.0
2024-07-10,Headset,Áudio,GO,Marketplace,1970.36,7,281.48,136.33,1016.05,3.8
2024-05-23,Monitor 27,Informática,MG,Online,4258.32,3,1419.44,963.5,1367.82,3.9
2024-07-22,Teclado Mecânico,Periféricos,GO,Marketplace,696.16,2,348.08,202.82,290.52,3.8
2024-09-06,Notebook Pro,Informática,PE,Online,27867.72,6,4644.62,3076.12,9411.0,4.0
2024-09-06,Caixa de Som,Áudio,RJ,Loja Física,1654.36,4,413.59,256.68,627.64,4.2
2024-01-16,Smartphone X,Telefonia,BA,Loja Física,10662.2,4,2665.55,2108.8,2227.0,3.8
2024-12-05,Notebook Pro,Informática,ES,Marketplace,4630.26,1,4630.26,2985.59,1644.67,5.0
2024-06-27,Mouse Gamer,Periféricos,SP,Marketplace,981.8,5,196.36,97.86,492.5,4.5
2024-02-12,Caixa de Som,Áudio,SP,Marketplace,1852.85,5,370.57,227.13,717.2,3.8
2024-03-30,Teclado Mecânico,Periféricos,MG,Marketplace,597.78,2,298.89,201.07,195.64,4.0
2024-04-23,Caixa de Som,Áudio,GO,Loja Física,1997.95,5,399.59,241.22,791.85,4.3
2024-09-05,Headset,Áudio,GO,Marketplace,288.9,1,288.9,166.83,122.07,4.8
2024-04-08,Smartwatch,Telefonia,ES,Marketplace,857.24,1,857.24,623.9,233.34,4.5
2024-07-08,Monitor 27,Informática,BA,Online,1492.12,1,1492.12,1047.29,444.83,4.6
2024-12-20,Smartphone X,Telefonia,RS,Marketplace,19632.9,7,2804.7,2185.93,4331.39,3.9
2024-06-25,Caixa de Som,Áudio,SP,Loja Física,1262.1,3,420.7,231.43,567.81,4.1
2024-02-21,Monitor 27,Informática,SP,Online,12588.56,8,1573.57,874.63,5591.52,4.0
2024-01-25,Notebook Pro,Informática,PE,Marketplace,4290.49,1,4290.49,3437.34,853.15,4.2
2024-08-26,Monitor 27,Informática,PE,Loja Física,5538.44,4,1384.61,931.65,1811.84,4.1
2024-01-07,Notebook Pro,Informática,SP,Marketplace,8142.3,2,4071.15,3264.83,1612.64,3.9
2024-07-12,Notebook Pro,Informática,ES,Loja Física,20198.0,5,4039.6,2976.45,5315.75,4.6
2024-10-01,Notebook Pro,Informática,PR,Loja Física,18782.88,4,4695.72,3259.52,5744.8,3.9
